COURSECODE,REVISIONCODE,SECTION,STUDYCODE,STUDENTCODE,CLASSCHECK,
FDB311,1,20,C,661100306,"P,P,P,P,,,,,,,,,,,,,,",
FDB312,1,20,C,661100306,"P,P,P,P,P,P,P,P,,,P,P,P,A,P,,,,",
FDB345,1,20,C,661100306,",,,,,,,,,,,,,,,,,",
MDC312,1,20,C,661100306,",,,,,,,,,,,,,,,,,",
MDC332,1,20,C,661100306,",,,A,L,,P,,,,P,L,S,P,,L,,",
AVB251,1,20,C,661100364,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
AVB351,1,20,C,661100364,"P,P,P,P,P,P,P,,,,P,P,,,,P,,,",
AVB353,1,20,C,661100364,"A,P,P,P,P,S,P,P,,,P,P,P,P,P,P,,",
AVB363,2,20,C,661100364,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
DMA227,1,1,C,661100372,",,,,,,,,,,,,,,,,,",
DMA227,1,1,L,661100372,",,,,,,,,,,,,,,,,,",
DMA323,1,1,C,661100372,",,P,A,P,A,P,P,A,P,P,,,,,,,,,,,,,,,,,,,,,,,,,",
DMA486,1,1,C,661100372,",,,,,,,,,,,,,,,,,",
DMA491,1,1,C,661100372,"P,,,A,,P,A,P,,,,,,,,,,",
DMA492,1,1,C,661100372,",,,,,,,,,,P,P,,,,A,,",
ECE332,2,1,C,661100380,",,,,,,,,,,,,,,,,,,",
ECE444,1,1,C,661100380,"P,P,P,,,,,,,,,,,,,,,",
ECE448,2,1,C,661100380,",,P,,,,,,,,,,,,,,,",
ECE449,1,1,C,661100380,",,,,,,,,,,,,,,,,,",
EDU303,1,1,C,661100380,"P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,",
EDU305,1,2,C,661100380,",,,,,,,,,,,,,,,,,",
ACC301,1,20,C,661100403,"P,P,,P,P,P,P,P,,,P,P,,,,,,",
DBT202,1,20,C,661100403,"P,P,P,P,P,P,A,P,,,P,P,P,P,P,P,,,",
DBT202,1,20,L,661100403,",,,,,,,,,,,,,,,,,,",
MGT321,2,20,C,661100403,",,,,,,,,,,,,,,,,,,",
EDU301,2,1,C,661100487,",,,,,,,,,,,,,,,,,,",
EDU302,3,1,C,661100487,",,,,,,,,,,,,,,,,,,",
EDU305,1,1,C,661100487,"P,P,P,,,,,,,,,,,,,,,",
PES325,1,1,C,661100487,"P,,,,,,,,,,,,,,,,,",
PES326,1,1,C,661100487,"A,A,P,P,P,P,P,,,,,,,P,,,,",
PES331,1,1,C,661100487,"P,,,,,,,,,,,,,,,,,",
PES461,1,1,C,661100487,",,P,,,,,,,,,,,,,,,",
PHE118,3,1,C,661100487,"P,P,A,A,A,A,P,P,,P,P,P,A,,,,,",
EDU301,2,1,C,661100584,",,,,,,,,,,,,,,,,,,",
EDU302,3,1,C,661100584,",,,,,,,,,,,,,,,,,,",
EDU305,1,1,C,661100584,"P,P,P,,,,,,,,,,,,,,,",
PES325,1,1,C,661100584,"P,,,,,,,,,,,,,,,,,",
PES326,1,1,C,661100584,"P,P,P,P,P,P,P,,,,,,,P,,,,",
PES331,1,1,C,661100584,"P,,,,,,,,,,,,,,,,,",
PES461,1,1,C,661100584,",,P,,,,,,,,,,,,,,,",
PHE118,3,1,C,661100584,"P,P,P,P,P,P,P,P,,P,P,P,P,,,,,",
AVB251,1,20,C,661100712,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
AVB351,1,20,C,661100712,"P,P,P,S,S,P,P,,,,P,P,,,,S,,,",
AVB353,1,20,C,661100712,"P,S,P,S,S,P,P,P,,,P,P,P,P,P,P,,",
AVB363,2,20,C,661100712,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
ACC301,1,50,C,661100885,"P,P,P,P,P,P,P,P,P,P,P,P,P,,",
DMK315,1,55,C,661100885,",,,,,,,,,,,,,,,,",
DMK424,1,355,C,661100885,"P,,P,,,,,,,,,,,,",
SFE342,68,50,C,661100885,"L,L,L,P,L,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
ITD442,1,1,C,661100974,"P,P,,,P,,P,,P,,,,P,P,,,",
ITD461,1,1,C,661100974,",P,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
MAT202,1,1,C,661100974,",,,,,,,,,,,P,P,,,,,",
ITD323,1,1,C,661100974,"P,P,P,P,,P,P,,,,,,,,,,",
BSC202,2,20,C,661101019,"P,S,P,,S,L,L,S,,,P,P,,P,,,,,",
BSC202,2,20,L,661101019,",,,,,,,,,,,,,,,,,,",
LSC322,1,20,C,661101019,",,,,,,,,,,,,,,,,,,",
LSC411,1,20,C,661101019,",,,,,,,,,,P,,,,,,,",
MAT203,1,20,C,661101019,"A,P,,P,P,P,P,P,,,P,A,A,P,A,,,",
MGT342,3,22,C,661101019,",,,,,,,,,,,,,,,,,",
PAD451,1,20,C,661101069,",,,,,,,,,,,,,,,,,",
PAD302,1,20,C,661101069,"A,A,P,,P,P,,,,,S,S,,,,,,,",
PAD362,1,20,C,661101069,"P,S,P,P,P,P,P,P,A,,,S,S,P,P,,,,",
PAD366,2,20,C,661101069,"A,,P,P,,P,P,P,,,P,P,A,,,,,",
PAD401,3,20,C,661101069,"A,P,P,P,P,P,P,P,,,P,A,A,P,P,,,",
BSC202,2,20,C,661101174,"P,S,P,,S,L,L,S,,,P,P,,P,,,,,",
BSC202,2,20,L,661101174,",,,,,,,,,,,,,,,,,,",
LSC322,1,20,C,661101174,",,,,,,,,,,,,,,,,,,",
LSC411,1,20,C,661101174,",,,,,,,,,,P,,,,,,,",
MAT203,1,20,C,661101174,"A,P,,P,P,P,P,P,,,P,A,A,P,A,,,",
MGT342,3,22,C,661101174,",,,,,,,,,,,,,,,,,",
BSC202,2,20,C,661101182,"S,,,,,,,,,,,,,,,,,,",
BSC202,2,20,L,661101182,",,,,,,,,,,,,,,,,,,",
AVB251,1,20,C,661101213,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
AVB351,1,20,C,661101213,"P,S,P,P,S,P,P,,,,P,P,,,,P,,,",
AVB353,1,20,C,661101213,"P,P,P,P,P,P,S,P,,,A,P,P,P,P,P,,",
AVB363,2,20,C,661101213,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
PAD451,1,20,C,661101459,",,,,,,,,,,,,,,,,,",
PAD302,1,20,C,661101459,"P,P,P,,P,P,P,,,,A,P,P,,,,,,",
PAD362,1,20,C,661101459,"P,P,P,P,P,P,P,P,P,,,P,P,P,P,,,,",
PAD366,2,20,C,661101459,"P,,P,P,,P,P,P,,,A,P,P,,,,,",
PAD401,3,20,C,661101459,"P,P,P,P,P,P,P,P,,,A,P,P,P,P,,,",
DMA227,1,1,C,661101491,",,,,,,,,,,,,,,,,,",
DMA227,1,1,L,661101491,",,,,,,,,,,,,,,,,,",
DMA323,1,1,C,661101491,",,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,",
DMA486,1,1,C,661101491,",,,,,,,,,,,,,,,,,",
DMA491,1,1,C,661101491,"P,,,P,,P,P,P,,,,,,,,,,",
DMA492,1,1,C,661101491,",,,,,,,,,,P,P,,,,P,,",
FDB339,1,20,C,661101514,"P,P,P,,,P,P,P,,,,,,,,,,",
MDC312,1,21,C,661101514,"P,P,P,P,P,P,P,P,P,,,,,,,,,",
MDC313,1,20,C,661101514,",,,P,P,,P,A,,,P,P,,P,,P,,",
MDC333,1,20,C,661101514,"A,P,P,P,,P,P,P,,,P,P,P,P,P,P,,,",
MDC442,1,20,C,661101514,"P,P,P,P,P,P,P,P,S,P,P,,,,,,,,",
PAD451,1,20,C,661101661,",,,,,,,,,,,,,,,,,",
PAD302,1,20,C,661101661,"P,P,P,,P,P,P,P,,,P,P,P,,,,,,",
PAD362,1,20,C,661101661,"P,P,P,P,P,P,P,P,P,,,P,P,P,P,,,,",
PAD366,2,20,C,661101661,"P,,P,P,,P,P,P,,,P,P,P,,,,,",
PAD401,3,20,C,661101661,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,,,",
EDU301,2,1,C,661101695,",,,,,,,,,,,,,,,,,,",
EDU302,3,1,C,661101695,",,,,,,,,,,,,,,,,,,",
EDU305,1,1,C,661101695,"P,P,P,,,,,,,,,,,,,,,",
PES325,1,1,C,661101695,"P,,,,,,,,,,,,,,,,,",
PES326,1,1,C,661101695,"P,P,P,P,P,P,P,,,,,,,P,,,,",
PES331,1,1,C,661101695,"P,,,,,,,,,,,,,,,,,",
PES461,1,1,C,661101695,",,P,,,,,,,,,,,,,,,",
PHE118,3,1,C,661101695,"P,P,P,P,P,P,P,P,,P,P,P,P,,,,,",
ECE332,2,1,C,661101718,",,,,,,,,,,,,,,,,,,",
ECE444,1,1,C,661101718,"P,P,P,,,,,,,,,,,,,,,",
ECE448,2,1,C,661101718,",,P,,,,,,,,,,,,,,,",
ECE449,1,1,C,661101718,",,,,,,,,,,,,,,,,,",
EDU303,1,1,C,661101718,"A,S,S,P,S,L,L,S,P,P,P,S,P,S,,,,",
EDU305,1,2,C,661101718,",,,,,,,,,,,,,,,,,",
FDB311,1,21,C,661101742,"P,P,P,A,,,,,,,,,,,,,,",
FDB312,1,21,C,661101742,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,,,,",
FDB345,1,20,C,661101742,",,,,,,,,,,,,,,,,,",
MDC312,1,20,C,661101742,",,,,,,,,,,,,,,,,,",
MDC336,1,20,C,661101742,"P,P,P,A,A,P,A,P,,,P,P,A,P,,,,",
FDB311,1,21,C,661101849,"P,P,P,A,,,,,,,,,,,,,,",
FDB312,1,21,C,661101849,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,,,,",
FDB345,1,20,C,661101849,",,,,,,,,,,,,,,,,,",
MDC312,1,20,C,661101849,",,,,,,,,,,,,,,,,,",
MDC336,1,20,C,661101849,"P,P,P,P,A,P,P,P,,,A,P,A,P,,,,",
BSC202,2,20,C,661101899,"P,P,P,,P,P,P,P,,,P,P,P,P,,P,,,",
BSC202,2,20,L,661101899,",,,,,,,,,,,,,,,,,,",
LSC322,1,20,C,661101899,",,,,,,,,,,,,,,,,,,",
LSC411,1,20,C,661101899,",,,,,,,,,,P,,,,,,,",
MAT203,1,20,C,661101899,"P,P,,P,P,P,P,P,,,P,P,P,P,P,,,",
MGT342,3,22,C,661101899,",,,,,,,,,,,,,,,,,",
FDB311,1,21,C,661101904,"P,P,P,P,,,,,,,,,,,,,,",
FDB312,1,21,C,661101904,"P,P,P,P,P,P,P,P,,,P,P,A,P,P,,,,",
FDB345,1,20,C,661101904,",,,,,,,,,,,,,,,,,",
MDC312,1,21,C,661101904,"P,P,P,P,P,P,P,P,P,,,,,,,,,",
MDC336,1,20,C,661101904,"P,P,P,P,P,P,P,P,,,P,P,P,P,,,,",
FDB311,1,20,C,661102007,"A,A,A,A,,,,,,,,,,,,,,",
FDB312,1,20,C,661102007,"A,A,A,P,P,P,P,P,,,A,A,A,,,,,,",
FDB345,1,20,C,661102007,",,,,,,,,,,,,,,,,,",
MDC312,1,20,C,661102007,",,,,,,,,,,,,,,,,,",
MDC332,1,20,C,661102007,",,,A,,,,,,,,,,,,,,",
FDB311,1,20,C,661102162,"P,P,P,A,,,,,,,,,,,,,,",
FDB312,1,20,C,661102162,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,,,,",
FDB345,1,20,C,661102162,",,,,,,,,,,,,,,,,,",
MDC312,1,20,C,661102162,",,,,,,,,,,,,,,,,,",
MDC332,1,20,C,661102162,",,,P,,,,,,,L,P,S,P,,L,,",
PAD371,2,20,C,651102801,"S,P,P,P,P,P,,P,,,P,P,P,P,P,,,",
PAD402,3,20,C,651102801,"P,P,P,P,P,P,P,P,,P,S,P,P,P,P,,,,",
PAD427,2,20,C,651102801,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,,,",
MAT100,1,20,C,651102885,"P,P,P,A,P,P,P,P,,,P,P,A,A,P,P,,",
MAT100,1,20,C,651102932,"P,P,P,P,P,P,P,P,,,P,P,P,A,P,P,,",
MAT100,1,20,C,651103069,"P,P,P,P,P,P,A,P,,,A,A,P,P,P,A,,",
MAT100,1,20,C,651103158,"P,P,P,P,P,P,P,P,,,A,P,P,P,P,P,,",
ACC495,1,20,C,651103221,",,,,,,,,,,,,,,,,,",
MAT203,1,20,C,651103221,"P,P,,P,P,P,P,P,,,P,P,P,P,P,,,",
MGT401,1,20,C,651103221,"P,P,,P,P,P,P,P,,,P,P,P,P,,P,,",
MAT100,1,20,C,651103239,"P,P,P,P,P,P,P,A,,,P,P,A,P,P,A,,",
MAT100,1,20,C,651103302,"P,P,P,P,P,P,P,P,,,P,P,P,P,A,P,,",
MAT100,1,20,C,651103310,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,P,,",
MAT100,1,20,C,651103394,"P,P,P,P,P,P,P,P,,,P,P,A,P,A,P,,",
THA353,1,20,L,651103459,",,,,,,,,,,,,,,,,,",
MAT100,1,20,C,651103475,"P,P,P,P,P,P,P,P,,,A,P,P,P,P,P,,",
MAT100,1,20,C,651103491,"P,P,P,P,P,P,P,P,,,P,A,P,P,P,P,,",
ITD492,1,1,C,651103580,"P,,P,,P,,",
ACC495,1,20,C,651103718,",,,,,,,,,,,,,,,,,",
MAT203,1,20,C,651103718,"A,P,,A,P,P,P,P,,,A,P,P,P,P,,,",
MGT401,1,20,C,651103718,"A,P,,P,P,L,P,A,,,A,P,P,P,,P,,",
MAT100,1,20,C,651103970,"P,P,P,P,P,P,P,P,,,A,P,P,P,P,P,,",
ITD492,1,1,C,651104049,"S,,P,,P,,",
MAT100,1,20,C,651104219,"P,P,P,A,P,P,P,P,,,P,P,P,P,P,P,,",
ENG102,1,356,C,651104578,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,",
EDU412,2,2,C,651104617,",,,,,,,,,,,,,,,,,",
MAT100,1,20,C,651104722,"A,A,A,P,P,P,P,P,,,P,A,P,P,P,P,,",
PAD371,2,20,C,651104829,"A,P,P,P,S,P,,P,,,A,P,A,P,P,,,",
PAD402,3,20,C,651104829,"A,L,A,P,P,A,P,P,,P,A,P,P,P,P,,,,",
PAD427,2,20,C,651104829,"P,S,P,P,S,P,P,P,,,S,P,P,P,P,,,",
MAT100,1,20,C,651104845,"P,P,P,A,P,P,P,P,,,P,P,P,P,P,P,,",
ACC495,1,20,C,651104879,",,,,,,,,,,,,,,,,,",
MAT203,1,20,C,651104879,"P,P,,P,P,P,P,P,,,P,P,P,P,P,,,",
MGT401,1,20,C,651104879,"P,P,,P,P,P,P,P,,,P,P,P,P,,P,,",
CED341,1,1,C,651104887,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
LAW106,1,20,C,651105029,",,P,,,,,,P,,P,,,,",
LSC313,1,65,C,651105134,"L,A,L,A,P,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
LSC322,1,20,C,651105338,",,,,,,,,,,,,,,,,,,",
LSC364,1,20,C,651105338,",,,,,,,,,,,,,,,,,",
LSC411,1,20,C,651105338,",,,,,,,,,,P,,,,,,,",
PHL106,1,20,C,651105338,",,,,,,,,,,,,,,,,,,",
PAD402,3,60,C,651105354,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
POS224,1,60,C,651105354,",,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
ACC341,2,355,C,651105370,"P,,P,,,,,,,,,,,,",
ACC471,2,50,C,651105370,"P,P,P,P,P,P,P,P,S,P,P,P,P,,",
ACC492,2,50,C,651105370,"P,P,P,P,P,P,P,P,P,P,P,P,P,,",
PAD371,2,20,C,651105574,"S,P,P,P,P,P,,P,,,P,P,P,P,S,,,",
PAD402,3,20,C,651105574,"P,P,P,P,P,P,P,P,,P,S,P,P,P,P,,,,",
PAD427,2,20,C,651105574,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,,,",
LAW106,1,20,C,651105655,",,P,,P,,P,,P,,P,,,,",
ACC341,2,355,C,651105728,"P,,S,,,,,,,,,,,,",
ACC471,2,50,C,651105728,"P,P,S,P,P,P,P,P,P,P,P,P,P,,",
ACC492,2,50,C,651105728,"P,P,L,P,P,P,P,P,P,P,P,P,S,,",
ACC495,1,20,C,651105841,",,,,,,,,,,,,,,,,,",
MAT203,1,20,C,651105841,"P,P,,P,P,P,A,P,,,P,A,A,P,P,,,",
MGT401,1,20,C,651105841,"P,P,,P,P,P,S,P,,,P,P,A,P,,P,,",
LSC313,1,65,C,651105867,"A,L,L,A,P,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
LAW106,1,20,C,651105922,",,L,,P,,,,P,,A,,,,",
ACC341,2,355,C,651106017,"S,,P,,,,,,,,,,,,",
ACC471,2,50,C,651106017,"P,P,P,P,P,P,P,P,P,P,P,P,P,,",
ACC492,2,50,C,651106017,"P,P,P,P,P,P,P,P,P,P,P,P,P,,",
THA353,1,20,L,651106025,",,,,,,,,,,,,,,,,,",
LAW106,1,20,C,651106033,",,P,,P,,P,,S,,P,,,,",
ITD492,1,1,C,651106148,"P,,P,,P,,",
LAW106,1,20,C,651106473,",,A,,P,,,,A,,P,,,,",
LAW106,1,60,C,651106481,",,,P,P,,,,A,,P,,,,",
SCI103,1,365,C,651106481,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,",
ACC495,1,20,C,651106499,",,,,,,,,,,,,,,,,,",
MAT203,1,20,C,651106499,"P,P,,P,P,P,P,P,,,P,P,P,P,P,,,",
MGT401,1,20,C,651106499,"P,P,,P,P,P,L,P,,,P,P,P,P,,P,,",
LAW106,1,60,C,651106677,",,,S,P,,,,P,,A,,,,",
SCI103,1,365,C,651106677,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,",
DIMA106,1,1,C,651110799,",,,,,,,,,,,,,,,,,",
DIMA106,1,1,L,651110799,",,,,,,,,,,,,,,,,,",
MAI322,1,1,C,651110799,"A,A,A,A,P,,A,,,,A,A,,,,,,",
MAI322,1,1,L,651110799,",,,,,,,,,,,,,,,,,",
LAW106,1,60,C,651110862,",,,A,,,,,A,,S,,,,",
SCI103,1,365,C,651110862,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,",
ENG102,1,20,C,651110862,",,,,,,,,,,,,,,,,,,",
LIB102,2,65,C,651110993,",,,,,,,,,,,,,,,,P,,P,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,",
PHE156,1,66,C,651110993,",,,,,,,,",
LIB102,2,65,C,651111046,",,,,,,,,,,,,,,,,P,,P,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,",
MAT101,1,65,C,651111046,",,,,,,,,,,,,,,,,,,P,,A,,P,,P,,,,A,,A,,,,,,,,,,,,,,,,,,",
PAD231,1,60,C,651111046,"P,P,P,P,P,,P,P,A,P,A,P,P,,",
PHE156,1,66,C,651111046,"P,,,,,,,,",
LIB102,2,65,C,651111054,",,,,,,,,,,,,,,,,P,,P,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,",
PHE156,1,66,C,651111054,"P,,,,,,,,",
LIB102,2,65,C,651111062,",,,,,,,,,,,,,,,,P,,A,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,",
PHE156,1,66,C,651111062,"P,,,,,,,,",
EDU412,2,2,C,651111185,",,,,,,,,,,,,,,,,,",
EDU412,2,2,C,651111240,",,,,,,,,,,,,,,,,,",
EDU412,2,2,C,651111258,",,,,,,,,,,,,,,,,,",
MAT100,1,20,C,651111266,"P,P,P,P,P,P,A,P,,,P,P,P,P,P,P,,",
PAD371,2,20,C,651111282,"A,P,P,P,P,P,,P,,,P,P,P,A,P,,,",
PAD402,3,20,C,651111282,"L,L,L,L,A,L,P,A,,P,L,L,L,L,A,,,,",
PAD427,2,20,C,651111282,"P,P,P,S,P,P,P,P,,,S,P,P,A,P,,,",
PAD371,2,20,C,651111313,"P,P,P,P,S,P,,P,,,P,P,P,P,P,,,",
PAD402,3,20,C,651111313,"P,P,A,P,P,S,P,A,,P,P,P,P,P,A,,,,",
PAD427,2,20,C,651111313,"P,P,P,P,P,S,P,P,,,S,P,P,P,A,,,",
MAT100,1,20,C,651111363,"P,P,P,P,P,P,P,P,,,P,A,P,P,P,P,,",
LAW106,1,20,C,651111371,",,P,,P,,,,P,,S,,,,",
ACC495,1,20,C,651111436,",,,,,,,,,,,,,,,,,",
MAT203,1,20,C,651111436,"P,P,,P,P,P,P,P,,,P,P,P,P,P,,,",
MGT401,1,20,C,651111436,"P,P,,P,P,P,P,P,,,P,P,P,P,,P,,",
ITD492,1,1,C,651111478,"P,,P,,P,,",
LAW106,1,60,C,651111591,",,,S,P,,,,P,,S,,,,",
SCI103,1,365,C,651111591,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,",
EDU412,2,2,C,651111664,",,,,,,,,,,,,,,,,,",
EDU412,2,2,C,651111680,",,,,,,,,,,,,,,,,,",
EDU412,2,2,C,651111737,",,,,,,,,,,,,,,,,,",
EDU412,2,2,C,651111745,",,,,,,,,,,,,,,,,,",
THA353,1,20,L,651111761,",,,,,,,,,,,,,,,,,",
MAT100,1,20,C,651111779,"P,P,P,P,P,P,P,P,,,P,P,P,P,P,A,,",
EDU412,2,2,C,651111787,",,,,,,,,,,,,,,,,,",
EDU412,2,2,C,651111834,",,,,,,,,,,,,,,,,,",
SOC112,1,60,C,651111892,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
SOC112,1,60,C,651111907,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
SOC112,1,60,C,651111923,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
SOC112,1,60,C,651111931,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
SOC112,1,60,C,651111981,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
EDU412,2,2,C,651111999,",,,,,,,,,,,,,,,,,",
SOC112,1,60,C,651112034,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
SOC112,1,60,C,651112050,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
COM101,1,365,C,651112068,"S,P,,,,,,,,,,,,,",
COM101,1,365,L,651112068,",,,,,,,",
SCI103,1,365,C,651112068,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,",
SOC112,1,60,C,651112092,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
LIB102,2,375,C,651112123,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,P,P,,,,,,,,,,,,",
PHE156,1,375,C,651112123,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
SCI102,1,75,C,651112123,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
SOC112,1,60,C,651112131,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",
PAD371,2,20,C,651112288,"P,P,P,S,P,S,,P,,,S,P,P,P,P,,,",
PAD402,3,20,C,651112288,"A,P,P,S,L,P,A,P,,P,L,P,P,L,L,,,,",
PAD427,2,20,C,651112288,"P,P,P,S,P,S,P,P,,,P,P,P,P,A,,,",
ACC301,1,50,C,651112319,"L,P,S,P,P,P,P,P,P,S,S,P,P,,",
DBT201,1,356,C,651112319,",,S,,,,,,,,,,,,",
DBT201,1,356,L,651112319,",,,,,,,",
DMK315,1,55,C,651112319,",,,,,,,,,,,,,,,,",
EDU412,2,2,C,651112628,",,,,,,,,,,,,,,,,,",
LAW106,1,60,C,651112636,",,,S,P,,,,P,,P,,,,",
SCI103,1,365,C,651112636,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,",
